Unnamed: 0,id,locality,postal_code,region,province,type_of_property,subtype_of_property,price,number_of_bedrooms,surface,kitchen_type,fully_equipped_kitchen,furnished,open_fire,terrace,terrace_surface,garden,garden_surface,land_surface,number_of_facades,swimming_pool,state_of_the_building
5433,10075154,Saint-Gilles,1060,Brussels,Brussels,1,HOUSE,785000.0,5.0,244.0,INSTALLED,INSTALLED,0.0,0,,,1.0,80.0,0.0,2.0,0.0,1
15194,10131142,Colfontaine,7340,Wallonie,Hainaut,1,VILLA,230000.0,3.0,110.0,INSTALLED,INSTALLED,0.0,0,1.0,,,,530.0,4.0,,1
34766,10085870,Wilrijk,2610,Flanders,Antwerp,0,APARTMENT,235000.0,2.0,122.0,NO_INFO,-1,,0,1.0,,,,,2.0,0.0,0
24891,10029513,Wavre Bierges,1301,Wallonie,Walloon Brabant,1,HOUSE,900000.0,5.0,255.0,HYPER_EQUIPPED,1,0.0,0,1.0,100.0,1.0,1500.0,1500.0,4.0,0.0,1
13425,10019509,CHÂTELINEAU,6200,Wallonie,Hainaut,0,APARTMENT,207500.0,2.0,83.0,NO_INFO,-1,0.0,0,1.0,,,,,,,1
6768,10147237,Etterbeek,1040,Brussels,Brussels,0,APARTMENT,299000.0,2.0,100.0,NO_INFO,-1,0.0,0,1.0,4.0,,,,,,0
5087,10052020,Woluwe-St-Lambert,1200,Brussels,Brussels,0,APARTMENT,249000.0,1.0,68.0,INSTALLED,INSTALLED,0.0,0,,,,,,,0.0,1
26789,10092364,Ranst,2520,Flanders,Antwerp,1,HOUSE,545000.0,3.0,282.0,USA_INSTALLED,USA_INSTALLED,,0,1.0,46.0,1.0,200.0,575.0,3.0,0.0,1
25175,10081566,Braine-l'Alleud,1420,Wallonie,Walloon Brabant,1,HOUSE,285000.0,3.0,133.0,NO_INFO,-1,0.0,0,,,1.0,200.0,200.0,2.0,0.0,1
53676,10001952,Wemmel,1780,Flanders,Flemish Brabant,1,HOUSE,295000.0,2.0,100.0,SEMI_EQUIPPED,SEMI_EQUIPPED,0.0,0,,,,,88.0,2.0,,1
52890,10095968,Zaventem,1930,Flanders,Flemish Brabant,1,VILLA,985000.0,7.0,525.0,NO_INFO,-1,0.0,0,1.0,25.0,,,2630.0,,0.0,1
32780,10111511,'s-Gravenwezel,2970,Flanders,Antwerp,1,MANOR_HOUSE,6900000.0,8.0,1053.0,INSTALLED,INSTALLED,0.0,0,1.0,,1.0,107720.0,107720.0,4.0,0.0,1
61811,10136936,Deinze,9800,Flanders,East Flanders,0,APARTMENT,350000.0,2.0,120.0,HYPER_EQUIPPED,1,0.0,0,,,,,,2.0,,1
58116,10075797,Eeklo,9900,Flanders,East Flanders,1,VILLA,339000.0,5.0,224.0,INSTALLED,INSTALLED,0.0,0,1.0,,1.0,,730.0,,0.0,0
45351,9945260,Tielt,8700,Flanders,West Flanders,0,APARTMENT,358000.0,2.0,130.0,INSTALLED,INSTALLED,0.0,0,1.0,60.0,1.0,60.0,,2.0,0.0,1
52683,9944212,Bierbeek,3360,Flanders,Flemish Brabant,1,HOUSE,175000.0,3.0,109.0,SEMI_EQUIPPED,SEMI_EQUIPPED,0.0,0,1.0,27.0,,,100.0,4.0,,0
50579,9989049,Bierbeek,3360,Flanders,Flemish Brabant,1,HOUSE,495000.0,3.0,169.0,NO_INFO,-1,,0,1.0,23.0,,,0.0,2.0,,1
39668,9954028,Kortrijk,8500,Flanders,West Flanders,0,APARTMENT,231000.0,1.0,66.0,NO_INFO,-1,0.0,0,1.0,4.0,,,,2.0,0.0,1
17865,10067319,Le Roeulx,7070,Wallonie,Hainaut,1,HOUSE,190000.0,3.0,207.0,INSTALLED,INSTALLED,0.0,0,,,,,0.0,,0.0,1
22458,9587279,HEURE-LE-ROMAIN,4682,Wallonie,Liège,1,VILLA,375000.0,4.0,190.0,INSTALLED,INSTALLED,0.0,0,1.0,15.0,1.0,300.0,456.0,4.0,,1
53136,10146005,Halle,1500,Flanders,Flemish Brabant,1,HOUSE,275000.0,3.0,144.0,NO_INFO,-1,0.0,0,1.0,,1.0,,110.0,,0.0,1
38241,9866871,Ieper,8900,Flanders,West Flanders,0,APARTMENT,169000.0,3.0,125.0,NO_INFO,-1,0.0,0,,,1.0,18.0,,2.0,0.0,1
33393,10131669,Putte,2580,Flanders,Antwerp,1,HOUSE,310000.0,3.0,232.0,NOT_INSTALLED,NOT_INSTALLED,0.0,0,1.0,,,,255.0,3.0,,1
59675,10117645,Sint-Lievens-Houtem,9520,Flanders,East Flanders,1,VILLA,565000.0,4.0,236.0,INSTALLED,INSTALLED,0.0,1,1.0,30.0,1.0,1000.0,0.0,4.0,,1
57600,10087983,Knesselare,9910,Flanders,East Flanders,1,HOUSE,215000.0,3.0,237.0,SEMI_EQUIPPED,SEMI_EQUIPPED,0.0,0,,,1.0,,790.0,,0.0,0
15966,10123778,Mont-sur-Marchienne,6032,Wallonie,Hainaut,0,APARTMENT,195000.0,2.0,90.0,NO_INFO,-1,,0,,,,,,,,1
3461,9801157,SAMREE,6982,Wallonie,Luxembourg,1,HOUSE,325000.0,4.0,181.0,NO_INFO,-1,,0,,,,,1225.0,4.0,,1
